FID,STATEFP10,COUNTYFP10,COUNTYNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CSAFP10,CBSAFP10,METDIVFP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GISJOIN,County,State,FIPS_County_Code,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,mean,SHAPE_Length,SHAPE_Area
1,02,013,01419964,02013,Aleutians East,Aleutians East Borough,04,H1,G4020, , , ,A,18083148800,20792209033,+55.2437223,-161.9507485,G0200130,"Aleutians East, AK",AK,02013,,,,,,,,,,,,,,60.4203349999403,2.58012022771821
2,02,016,01419965,02016,Aleutians West,Aleutians West Census Area,05,H5,G4020, , , ,S,11370762625,25190643524,+51.9594469,+178.3388130,G0200160,"Aleutians West, AK",AK,02016,,,,,,,,,,,,,,62.7667581316958,1.52024793194037
3,28,107,00695776,28107,Panola,Panola County,06,H1,G4020, , , ,A,1774515519,51767046,+34.3652052,-089.9630654,G2801070,"Panola, MS",MS,28107,113.5,115.1,137.9,132.7,124.5,128.9,124.3,114.4,110.4,110.8,101.4,93.3,117.2666667,1.73308175628611,0.178973652765867
4,28,101,00695773,28101,Newton,Newton County,06,H1,G4020, , , ,A,1497282694,3879399,+32.4019702,-089.1184115,G2801010,"Newton, MS",MS,28101,59,68.5,58.7,43.4,43.1,43.8,48.2,63.3,73.2,65.4,71.2,63.4,58.43333333,1.52306328699545,0.143886974043069
5,28,027,00695738,28027,Coahoma,Coahoma County,06,H1,G4020, ,17260, ,A,1430818231,79539470,+34.2286699,-090.6031650,G2800270,"Coahoma, MS",MS,28027,73.6,78.7,79.1,76.4,67.9,80.3,81.6,93.7,108.6,106,120.3,115.1,90.10833333,2.51620307151082,0.147782241410762
6,22,065,00558088,22065,Madison,Madison Parish,15,H1,G4020, ,45260, ,A,1617283455,68538668,+32.3658243,-091.2407290,G2200650,"Madison, LA",LA,22065,79.8,67.1,69.6,63.6,,,,,3.2,2.3,1.8,1.5,36.1125,3.05013816335997,0.16152028969741
7,51,540,01789068,51540,Charlottesville,Charlottesville city,25,C7,G4020, ,16820, ,F,26517362,52974,+38.0376579,-078.4853806,G5105400,"Charlottesville, VA",VA,51540,77.9,83.1,82.9,79.6,80.1,77.3,80.1,79.6,77.2,69.2,52.8,44.1,73.65833333,0.371307942111363,0.00272978674934267
8,51,510,01498415,51510,Alexandria,Alexandria city,25,C7,G4020,548,47900,47894,F,38919733,1140371,+38.8183429,-077.0820263,G5105100,"Alexandria, VA",VA,51510,38.4,40.1,41.5,40.9,42,41.2,41.8,39.6,38.3,35.9,33,27.2,38.325,0.340293823956603,0.00409860510064446
9,51,530,01498417,51530,Buena Vista,Buena Vista city,25,C7,G4020, , , ,F,17362236,223855,+37.7316634,-079.3563746,G5105300,"Buena Vista, VA",VA,51530,99.2,85.2,82.5,82,86.6,85.7,86.3,82.9,85.1,71.9,85.2,81.1,84.475,0.247686235114686,0.00179231002922449
10,51,600,01789070,51600,Fairfax,Fairfax city,25,C7,G4020,548,47900,47894,F,16159465,95054,+38.8531833,-077.2990252,G5106000,"Fairfax City, VA",VA,51600,87.7,89.6,97.5,95.7,93.4,94.9,96.1,93.6,88.7,81.4,78.8,68.5,88.825,0.227367058016576,0.00168508303522848
11,48,113,01383842,48113,Dallas,Dallas County,06,H1,G4020,206,19100,19124,A,2256602704,96696353,+32.7669866,-096.7784238,G4801130,"Dallas, TX",TX,48113,60.3,62.8,64.8,63.7,63.6,64.9,65.4,63.3,59.8,52.5,50.6,46.1,59.81666667,1.90873618661808,0.226475067490718
12,48,227,01383899,48227,Howard,Howard County,06,H1,G4020, ,13700, ,A,2333038341,8841951,+32.3035834,-101.4385304,G4802270,"Howard, TX",TX,48227,76,79.2,83.7,72,74.9,70.3,70.9,67.5,71.9,59.6,65.6,63.6,71.26666667,1.8999781291546,0.224240281387834
